Frequency of Green LED is: 1Hz & Duty Cycle of Green LED is: 80%

The timestamp in Millisecond | The state of the Green LED
              10000          ,             1
              10800          ,             0
              11000          ,             1
              11800          ,             0
              12000          ,             1
              12800          ,             0
              13000          ,             1
              13800          ,             0
              14000          ,             1
              14800          ,             0
              15000          ,             1
              15800          ,             0
              16000          ,             1
              16800          ,             0
              17000          ,             1
              17800          ,             0
              18000          ,             1
              18800          ,             0
              19000          ,             1
              19800          ,             0
              20000          ,             1
              20800          ,             0
              21000          ,             1
              21800          ,             0
              22000          ,             1
              22800          ,             0
              23000          ,             1
              23800          ,             0
              24000          ,             1
              24800          ,             0
              25000          ,             1
              25800          ,             0
              26000          ,             1
              26800          ,             0
              27000          ,             1
              27800          ,             0
              28000          ,             1
              28800          ,             0
              29000          ,             1
              29800          ,             0
              30000          ,             1
              30800          ,             0
              31000          ,             1
              31800          ,             0
              32000          ,             1
              32800          ,             0
              33000          ,             1
              33800          ,             0
              34000          ,             1
              34800          ,             0
              35000          ,             1
              35800          ,             0
              36000          ,             1
              36800          ,             0
              37000          ,             1
              37800          ,             0
              38000          ,             1
              38800          ,             0
              39000          ,             1
              39800          ,             0
              40000          ,             1
              40800          ,             0
              41000          ,             1
              41800          ,             0
              42000          ,             1
              42800          ,             0
              43000          ,             1
              43800          ,             0
              44000          ,             1
              44800          ,             0
              45000          ,             1
              45800          ,             0
              46000          ,             1
              46800          ,             0
              47000          ,             1
              47800          ,             0
              48000          ,             1
              48800          ,             0
              49000          ,             1
              49800          ,             0
              50000          ,             1
              50800          ,             0
              51000          ,             1
              51800          ,             0
              52000          ,             1
              52800          ,             0
              53000          ,             1
              53800          ,             0
              54000          ,             1
              54800          ,             0
              55000          ,             1
              55800          ,             0
              56000          ,             1
              56800          ,             0
              57000          ,             1
              57800          ,             0
              58000          ,             1
              58800          ,             0
              59000          ,             1
              59800          ,             0
              60000          ,             1
              60800          ,             0
              61000          ,             1
              61800          ,             0
              62000          ,             1
              62800          ,             0
              63000          ,             1
              63800          ,             0
              64000          ,             1
              64800          ,             0
              65000          ,             1
              65800          ,             0
              66000          ,             1
              66800          ,             0
              67000          ,             1
              67800          ,             0
              68000          ,             1
              68800          ,             0
              69000          ,             1
              69800          ,             0
              70000          ,             1
